,k,model,hit@k,file,time
0,1,Embible/AlephBertGimmel-10-epochs,0.37319123459697795,C:/Users/ELDAR/PycharmProjects/Embible-Backend4/data/Hit@K/mixed validetion dfs masked spaces new P/MIX_val_df_masked_spaces_5_percent.json,1.4236467917760214
1,1,Embible/AlephBertGimmel-20-epochs,0.38842172700440414,C:/Users/ELDAR/PycharmProjects/Embible-Backend4/data/Hit@K/mixed validetion dfs masked spaces new P/MIX_val_df_masked_spaces_5_percent.json,1.6450568795204163
2,1,Embible/AlephBertGimmel-50-epochs,0.364529601340625,C:/Users/ELDAR/PycharmProjects/Embible-Backend4/data/Hit@K/mixed validetion dfs masked spaces new P/MIX_val_df_masked_spaces_5_percent.json,1.6026139696439108
3,1,Embible/mBert-10-epochs,0.1917672998265866,C:/Users/ELDAR/PycharmProjects/Embible-Backend4/data/Hit@K/mixed validetion dfs masked spaces new P/MIX_val_df_masked_spaces_5_percent.json,2.183708437283834
4,1,Embible/mBert-20-epochs,0.17408669633079088,C:/Users/ELDAR/PycharmProjects/Embible-Backend4/data/Hit@K/mixed validetion dfs masked spaces new P/MIX_val_df_masked_spaces_5_percent.json,1.9952324668566386
5,1,Embible/mBert-50-epochs,0.18382386059551417,C:/Users/ELDAR/PycharmProjects/Embible-Backend4/data/Hit@K/mixed validetion dfs masked spaces new P/MIX_val_df_masked_spaces_5_percent.json,1.8872578183809916
6,1,Embible/distilBert-10-epochs,0.11207975931227442,C:/Users/ELDAR/PycharmProjects/Embible-Backend4/data/Hit@K/mixed validetion dfs masked spaces new P/MIX_val_df_masked_spaces_5_percent.json,1.450571080048879
7,1,Embible/distilBert-20-epochs,0.18880296577146974,C:/Users/ELDAR/PycharmProjects/Embible-Backend4/data/Hit@K/mixed validetion dfs masked spaces new P/MIX_val_df_masked_spaces_5_percent.json,1.4379980564117432
8,1,Embible/distilBert-50-epochs,0.18576072256016682,C:/Users/ELDAR/PycharmProjects/Embible-Backend4/data/Hit@K/mixed validetion dfs masked spaces new P/MIX_val_df_masked_spaces_5_percent.json,1.3169451395670573
9,1,Embible/AlephBertGimmel-10-epochs,0.35188302630012464,C:/Users/ELDAR/PycharmProjects/Embible-Backend4/data/Hit@K/mixed test dfs masked spaces new P/MIX_test_df_masked_spaces_5_percent.json,1.5500778039296468
10,1,Embible/AlephBertGimmel-20-epochs,0.3682381953107342,C:/Users/ELDAR/PycharmProjects/Embible-Backend4/data/Hit@K/mixed test dfs masked spaces new P/MIX_test_df_masked_spaces_5_percent.json,2.143623586495717
11,1,Embible/AlephBertGimmel-50-epochs,0.3679061367532869,C:/Users/ELDAR/PycharmProjects/Embible-Backend4/data/Hit@K/mixed test dfs masked spaces new P/MIX_test_df_masked_spaces_5_percent.json,1.6365849693616232
12,1,Embible/mBert-10-epochs,0.155111152520479,C:/Users/ELDAR/PycharmProjects/Embible-Backend4/data/Hit@K/mixed test dfs masked spaces new P/MIX_test_df_masked_spaces_5_percent.json,2.0597317536671955
13,1,Embible/mBert-20-epochs,0.1543235765386025,C:/Users/ELDAR/PycharmProjects/Embible-Backend4/data/Hit@K/mixed test dfs masked spaces new P/MIX_test_df_masked_spaces_5_percent.json,2.0495473821957906
14,1,Embible/mBert-50-epochs,0.16819096993967467,C:/Users/ELDAR/PycharmProjects/Embible-Backend4/data/Hit@K/mixed test dfs masked spaces new P/MIX_test_df_masked_spaces_5_percent.json,1.8322253902753194
15,1,Embible/distilBert-10-epochs,0.10790482545663899,C:/Users/ELDAR/PycharmProjects/Embible-Backend4/data/Hit@K/mixed test dfs masked spaces new P/MIX_test_df_masked_spaces_5_percent.json,1.4202772736549378
16,1,Embible/distilBert-20-epochs,0.17341241084764408,C:/Users/ELDAR/PycharmProjects/Embible-Backend4/data/Hit@K/mixed test dfs masked spaces new P/MIX_test_df_masked_spaces_5_percent.json,1.4931229988733927
17,1,Embible/distilBert-50-epochs,0.18121129014911397,C:/Users/ELDAR/PycharmProjects/Embible-Backend4/data/Hit@K/mixed test dfs masked spaces new P/MIX_test_df_masked_spaces_5_percent.json,1.4496806065241497
18,1,Embible/AlephBertGimmel-10-epochs,0.2131663645912207,C:/Users/ELDAR/PycharmProjects/Embible-Backend4/data/Hit@K/mixed validetion dfs masked spaces new P/MIX_val_df_masked_spaces_10_percent.json,2.1480100552241006
19,1,Embible/AlephBertGimmel-20-epochs,0.20452988490190793,C:/Users/ELDAR/PycharmProjects/Embible-Backend4/data/Hit@K/mixed validetion dfs masked spaces new P/MIX_val_df_masked_spaces_10_percent.json,1.8309970418612163
20,1,Embible/AlephBertGimmel-50-epochs,0.2057721734198168,C:/Users/ELDAR/PycharmProjects/Embible-Backend4/data/Hit@K/mixed validetion dfs masked spaces new P/MIX_val_df_masked_spaces_10_percent.json,1.3195836265881857
21,1,Embible/mBert-10-epochs,0.09156379081644658,C:/Users/ELDAR/PycharmProjects/Embible-Backend4/data/Hit@K/mixed validetion dfs masked spaces new P/MIX_val_df_masked_spaces_10_percent.json,1.3386961658795675
22,1,Embible/mBert-20-epochs,0.10201624148111985,C:/Users/ELDAR/PycharmProjects/Embible-Backend4/data/Hit@K/mixed validetion dfs masked spaces new P/MIX_val_df_masked_spaces_10_percent.json,1.3131779869397482
23,1,Embible/mBert-50-epochs,0.10545552508507414,C:/Users/ELDAR/PycharmProjects/Embible-Backend4/data/Hit@K/mixed validetion dfs masked spaces new P/MIX_val_df_masked_spaces_10_percent.json,1.3083074847857157
24,1,Embible/distilBert-10-epochs,0.07869739547382718,C:/Users/ELDAR/PycharmProjects/Embible-Backend4/data/Hit@K/mixed validetion dfs masked spaces new P/MIX_val_df_masked_spaces_10_percent.json,1.0289567987124124
25,1,Embible/distilBert-20-epochs,0.10489386653320398,C:/Users/ELDAR/PycharmProjects/Embible-Backend4/data/Hit@K/mixed validetion dfs masked spaces new P/MIX_val_df_masked_spaces_10_percent.json,1.0613054315249124
26,1,Embible/distilBert-50-epochs,0.1046436694651875,C:/Users/ELDAR/PycharmProjects/Embible-Backend4/data/Hit@K/mixed validetion dfs masked spaces new P/MIX_val_df_masked_spaces_10_percent.json,1.0521468639373779
27,1,Embible/AlephBertGimmel-10-epochs,0.21226760299681796,C:/Users/ELDAR/PycharmProjects/Embible-Backend4/data/Hit@K/mixed test dfs masked spaces new P/MIX_test_df_masked_spaces_10_percent.json,1.2561816612879435
28,1,Embible/AlephBertGimmel-20-epochs,0.22203054234376612,C:/Users/ELDAR/PycharmProjects/Embible-Backend4/data/Hit@K/mixed test dfs masked spaces new P/MIX_test_df_masked_spaces_10_percent.json,1.2987684766451517
29,1,Embible/AlephBertGimmel-50-epochs,0.21544608148298955,C:/Users/ELDAR/PycharmProjects/Embible-Backend4/data/Hit@K/mixed test dfs masked spaces new P/MIX_test_df_masked_spaces_10_percent.json,1.3726481278737386
