,metric,hide_p,k,ensemble_union,ensemble,char_model,word_model
0,CharHitAtK,5,1,0.7523859754872418,0.7763160538476999,0.7403782399035569,0.6460175138972606
1,WordHitAtK,5,1,0.7676848874598071,0.7853697749196141,0.7580385852090032,0.662379421221865
2,CharHitAtK,5,5,0.9166557832697078,0.9130023106288933,0.9121902417788499,0.7156595338557366
3,WordHitAtK,5,5,0.9196141479099679,0.9163987138263665,0.9139871382636656,0.7226688102893891
4,CharHitAtK,15,1,0.7110787814977518,0.7213856734635221,0.7011942682954815,0.6043898152697814
5,WordHitAtK,15,1,0.7192488262910798,0.7298904538341158,0.7089201877934272,0.6250391236306729
6,CharHitAtK,15,5,0.8847761849658509,0.8654495859229531,0.8815114279160471,0.7105077134590899
7,WordHitAtK,15,5,0.8766823161189359,0.865414710485133,0.8735524256651017,0.7192488262910798
8,CharHitAtK,25,1,0.6460502071037524,0.6447781265547597,0.6354617641537036,0.5632247256479864
9,WordHitAtK,25,1,0.6435401378696909,0.6479875472537248,0.634867689570825,0.5766066266399822
10,CharHitAtK,25,5,0.8273963222047382,0.8004614395663805,0.8215588327348182,0.712644555010226
11,WordHitAtK,25,5,0.8189904380698243,0.8025350233488993,0.8136535468089837,0.7082499444073826
12,CharHitAtK,30,1,0.6117446097221507,0.608347965072275,0.6042404065428365,0.5177960379713439
13,WordHitAtK,30,1,0.6076347894529712,0.610586383313656,0.6009445100354192,0.529319165682802
14,CharHitAtK,30,5,0.7846810937342916,0.757201909305357,0.7803506368120203,0.6931110006600439
15,WordHitAtK,30,5,0.7713498622589532,0.7565918929555293,0.7662337662337663,0.6845730027548209
